,Search_for,University_name,State_location
37,lalit Narayan Mithila University,Lalit Narayan Mithila University,"Public university in Darbhanga, Bihar"
38,pune university-SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
39,University of Pune.,Savitribai Phule Pune University,"University in Pune, Maharashtra"
40,West Bengal University Of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
41,Kannur university,Kannur University,"Public university in Kannur, Kerala"
42,SPPU pune university,Savitribai Phule Pune University,"University in Pune, Maharashtra"
43,JNTUH,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
44,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
45,RAJIV GANDHI PROUDYOGIKI VISHWAVIDYALAYA BHOPAL,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
46,Sastra university,SASTRA Deemed to be University,"Deemed university in Thanjavur, Tamil Nadu"
47,Andhra University,Andhra University College of Engineering,"Public university in Visakhapatnam, Andhra Pradesh"
48,Chhattisgarh Swami Vivekananda Technical University,CSVTU Bhilai,"Public university in Bhilai, Chhattisgarh"
49,Sambalpur University,Sambalpur University,"University in Sambalpur, Odisha"
50,Dr. A.P.J. ABDUL KALAM UNIVERSITY,Dr. A.P.J. ABDUL KALAM UNIVERSITY,"University in Indore, Madhya Pradesh"
51,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh","Dr. A.P.J. Abdul Kalam Technical University, Lucknow","University in Lucknow, Uttar Pradesh"
52,Lovely professional university,LPU,"Private university in Phagwara, Punjab"
53,Gondwana university,See results about,Founded: 
54,Gondwana University,See results about,Founded: 
55,SAVITRIBAI PHULE PUNE UNIVERSITY,Savitribai Phule Pune University,"University in Pune, Maharashtra"
56,JNTUH,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
57,Visvesvaraya Technological University (VTU),Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
58,Visvesvaraya Technological University (VTU),Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
59,G.N.D.U,guru nanak dev uni,Grocery store
60,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
61,JJNTU COLLEGE OF ENGINEERING HYDERABAD,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
62,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
63,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
64,Sant Gaadgebaba amaravati University,Sant Gaadgebaba Amaravati University,near Amravati
65,Pune,Pune,City in Maharashtra
66,ICFAI University,Icfai,"near Pune, Maharashtra"
67,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
68,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
69,Mumbai,Mumbai,City in Maharashtra
70,Christ University,"CHRIST (Deemed to be University), Pune Lavasa Campus - The Hub of Analytics","University in Lavasa, Maharashtra"
71,Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,"University in Amravati, Maharashtra"
72,Berhampur University,Berhampur University,"Public university in Berhampur, Odisha"
73,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
74,IIITD,Indraprastha Institute of Information Technology Delhi,State university in New Delhi
75,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
76,Anna University,Anna University,The Indian Express1 hour ago
77,Deemed, deem,/diːm/
78,Srm University,Srm,"near Pune, Maharashtra"
79,Kerala University,University of Kerala,"University in Thiruvananthapuram, Kerala"
80,Jawaharlal Nehru Technology And University Hyderabad,University Departments,"near Hyderabad, Telangana"
81,Maulana Abul Kalam Azad University of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
82,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
83,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
84,KLE TECHNOLOGICAL UNIVERSITY HUBLI,KLE Technological University,"University in Hubli, Karnataka"
85,Anna University,Anna University,The Indian Express1 hour ago
86,Rani Channamma University,Rani Channamma University Belagavi,"Public university in Godihal, Karnataka"
87,Andhra University,Andhra University College of Engineering,"Public university in Visakhapatnam, Andhra Pradesh"
88,Indira Gandhi National Open University,Ignou,"near Pune, Maharashtra"
89,Solapur University,Punyashlok Ahilyadevi Holkar Solapur University,"University in Solapur, Maharashtra"
90,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
91,mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
92,SRM University,Srm,"near Pune, Maharashtra"
93,Savitribai Phule Pune Unversity,Savitribai Phule Pune University,"University in Pune, Maharashtra"
94,VIT university,Vellore Institute of Technology,"Private university in Vellore, Tamil Nadu"
95,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
96,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
97,VIT,Vit,"near Pune, Maharashtra"
98,Maulana Abul Kalam Azad   University Of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
99,Jawaharlal Nehru Technological University Ananthapuramu,Jawaharlal Nehru Technological University Anantapuramu,"University in Anantapur, Andhra Pradesh"
100,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
101,North Maharashtra University,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
102,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
103,"Magadh University,Bodh Gaya",Magadh University,"Higher educational institution in Bodh Gaya, Bihar"
104,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
105,SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
106,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
107,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
108,KIIT University,Kalinga Institute of Industrial Technology,"Private university in Bhubaneswar, Odisha"
109,Rajasthan Technical University-Kota,Rajasthan technical university kota,"University in Kota, Rajasthan"
